BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,372,19, ,C7, 292 EAST THIRD STREET                     ,            ,10009,9,1,10,"2,401","6,920",1920, 2 , C7 ,"$670,509",5/11/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,377,53, ,C2, 269 EAST 7TH   STREET                     ,            ,10009,5,0,5,"2,169","3,657",1900, 2 , C2 ,$0,3/25/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,385,53, ,C4, 234 EAST 2ND   STREET                     ,            ,10009,15,0,15,"2,542","9,062",1900, 2 , C4 ,$10,10/1/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,386,63, ,D7, 215 EAST 3RD   STREET                     ,            ,10009,8,1,9,"2,212","9,660",1900, 2 , C4 ,"$3,500,000",2/2/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,400,53, ,C1, 209 EAST 4 STREET                         ,            ,10009,19,0,19,"2,404","6,989",1900, 2 , C1 ,$0,1/2/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,402,28, ,C4, 168 EAST 7TH   STREET                     ,            ,10009,20,0,20,"2,533","9,720",1911, 2 , C4 ,$1,3/2/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,405,5, ,C1, 182 AVENUE A                              ,            ,10009,32,0,32,"4,918","15,392",1920, 2 , C1 ,"$1,252,452",1/2/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,406,9, ,C7, 506 EAST 13 STREET                        ,            ,10009,27,2,29,"3,872","16,002",1900, 2 , C7 ,$0,1/2/2009
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,406,42, ,C7, 543 EAST 12TH   STREET                    ,            ,10009,19,1,20,"3,622","11,951",1900, 2 , C7 ,$0,12/30/2009
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,379,53, ,D1, EAST 9TH   STREET                         ,            ,10009,57,0,57,"8,766","44,876",2009, 2 , D1 ,$3,9/25/2009
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,379,54, ,D1, 719 EAST 9TH   STREET                     ,            ,10009,55,0,55,"4,613",0,0, 2 , D1 ,$0,9/25/2009
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,379,56, ,D1, EAST 9TH   STREET                         ,            ,10009,55,0,55,"2,300",0,0, 2 , D1 ,$0,9/25/2009
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,401,29, ,D1, 538 EAST 6TH   STREET                     ,            ,10009,18,0,18,"2,232","11,447",1900, 2 , D1 ,$10,10/1/2009
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6," 327 EAST 3RD STREET, 4C                   ",            ,10009,0,0,0,0,0,1920, 2 , C6 ,"$370,000",7/6/2009
