Neighborhood,V.2003,P.2003,V.Coop.2003,P.Coop.2003,V.Condo.2003,P.Condo.2003,V.Condop.2003,P.Condop.2003,V.2004,P.2004,V.Coop.2004,P.Coop.2004,V.Condo.2004,P.Condo.2004,V.Condop.2004,P.Condop.2004,V.2005,P.2005,V.Coop.2005,P.Coop.2005,V.Condo.2005,P.Condo.2005,V.Condop.2005,P.Condop.2005,V.2006,P.2006,V.Coop.2006,P.Coop.2006,V.Condo.2006,P.Condo.2006,V.Condop.2006,P.Condop.2006,V.2007,P.2007,V.Coop.2007,P.Coop.2007,V.Condo.2007,P.Condo.2007,V.Condop.2007,P.Condop.2007,V.2008,P.2008,V.Coop.2008,P.Coop.2008,V.Condo.2008,P.Condo.2008,V.Condop.2008,P.Condop.2008,V.2009,P.2009,V.Coop.2009,P.Coop.2009,V.Condo.2009,P.Condo.2009,V.Condop.2009,P.Condop.2009,V.2010,P.2010,V.Coop.2010,P.Coop.2010,V.Condo.2010,P.Condo.2010,V.Condop.2010,P.Condop.2010,V.2011,P.2011,V.Coop.2011,P.Coop.2011,V.Condo.2011,P.Condo.2011,V.Condop.2011,P.Condop.2011,V.2012,P.2012,V.Coop.2012,P.Coop.2012,V.Condo.2012,P.Condo.2012,V.Condop.2012,P.Condop.2012,V.2013,P.2013,V.Coop.2013,P.Coop.2013,V.Condo.2013,P.Condo.2013,V.Condop.2013,P.Condop.2013,V.2014,P.2014,V.Coop.2014,P.Coop.2014,V.Condo.2014,P.Condo.2014,V.Condop.2014,P.Condop.2014
ALPHABET CITY            ,120,300,64,270,50,520,6,270,139,410,79,300,50,635,10,320,137,580,66,445,63,730,8,400,163,635,112,540,42,850,9,780,135,640,67,435,65,805,3,720,85,690,45,430,39,1300,1,560,85,495,52,380,29,1015,4,730,57,700,11,520,43,740,3,420,85,600,48,490,30,1250,7,550,76,545,44,460,30,840,2,590,110,630,59,455,42,870,9,840,104,600,67,435,33,1100,4,605
CHELSEA                  ,741,480,369,380,290,840,82,320,730,510,368,480,226,980,136,360,738,700,325,600,320,1150,93,640,1049,760,251,580,715,935,83,510,851,850,300,680,476,1280,75,580,1060,1150,210,595,787,1350,63,600,787,950,229,580,497,1280,61,530,546,1230,107,640,412,1520,27,500,777,1000,281,620,405,1570,91,635,824,960,249,625,495,1320,80,720,925,990,362,580,485,1830,78,545,842,980,320,585,434,1730,88,650
CHINATOWN                ,55,350,3,1310,52,320,NA,NA,42,440,3,1370,39,420,NA,NA,99,1070,3,1850,95,990,1,NA,96,710,1,2280,95,705,NA,NA,90,885,5,1800,85,840,NA,NA,89,480,3,2050,86,450,NA,NA,45,995,2,1410,43,750,NA,NA,78,850,NA,NA,78,850,NA,NA,56,915,1,1800,55,870,NA,NA,58,910,1,1720,57,890,NA,NA,66,880,2,2215,64,850,NA,NA,104,1690,3,2600,101,1530,NA,NA
CIVIC CENTER             ,94,955,37,390,52,1600,5,720,131,1190,35,415,92,1405,4,855,160,1380,40,620,114,1640,6,985,90,1220,48,670,37,2360,5,1220,106,1580,31,700,69,1960,6,1440,215,1780,33,860,180,1900,2,960,76,1290,21,920,53,1530,2,900,119,1700,13,700,105,1720,1,NA,108,1750,33,540,73,2030,2,1380,205,1900,27,540,176,1950,2,1545,147,1950,41,720,98,2200,8,1170,201,1960,43,770,154,2255,4,1520
CLINTON                  ,124,280,77,200,47,440,NA,NA,189,380,129,290,43,540,17,560,134,420,85,320,40,560,9,700,273,525,67,380,198,570,8,800,584,830,86,360,484,870,14,680,806,830,53,380,741,905,12,770,186,710,41,310,137,760,8,525,217,770,32,350,183,810,2,735,255,760,65,305,181,820,9,630,397,770,55,340,337,900,5,700,254,800,77,405,164,950,13,740,248,760,92,390,150,1000,6,750
EAST VILLAGE             ,138,400,74,280,46,600,18,400,115,480,67,430,31,650,17,440,123,520,59,440,46,750,18,485,131,620,58,585,55,700,18,520,128,620,77,560,35,795,16,680,204,790,51,555,137,860,16,535,74,800,25,450,41,1240,8,600,86,935,18,485,62,1115,6,575,144,720,40,470,92,840,12,455,139,620,60,500,62,820,17,620,129,750,59,585,49,1220,21,630,235,1135,55,640,154,1420,26,605
FASHION                  ,73,485,39,485,34,445,NA,NA,124,915,71,380,53,1120,NA,NA,75,605,60,500,15,1350,NA,NA,222,670,40,630,182,685,NA,NA,131,850,56,625,75,940,NA,NA,84,830,27,755,54,840,3,8640,25,690,13,425,12,1150,NA,NA,52,880,11,880,41,1020,NA,NA,118,1225,33,1050,85,1270,NA,NA,147,1470,45,1070,102,1530,NA,NA,106,1320,40,840,66,1900,NA,NA,104,1430,31,1100,73,1700,NA,NA
FINANCIAL                ,36,370,22,370,13,340,1,400,79,620,35,485,38,760,6,375,102,470,25,480,76,465,1,560,849,690,22,740,822,685,5,740,1092,780,30,770,1057,790,5,700,859,870,18,820,841,870,NA,NA,447,900,10,460,436,920,1,NA,583,710,11,390,571,720,1,380,448,740,13,625,433,750,2,475,455,840,19,520,436,845,NA,NA,538,910,22,640,512,920,4,550,592,995,18,450,568,1000,6,475
FLATIRON                 ,300,520,168,420,126,740,6,310,355,660,177,480,168,920,10,600,341,880,147,650,181,1200,13,780,434,1270,209,900,220,1480,5,1320,541,1430,143,730,390,1620,8,860,402,1350,103,750,294,1590,5,440,309,1150,104,720,199,1490,6,1145,279,1440,43,690,229,1565,7,1650,333,1390,123,720,201,1780,9,1600,438,1300,134,760,297,1730,7,1580,418,1280,152,760,259,1695,7,1040,382,1565,136,835,237,2180,9,1300
GRAMERCY                 ,544,370,439,350,70,540,35,400,585,400,476,380,79,680,30,475,558,540,388,490,148,730,22,560,445,585,304,545,118,850,23,600,620,640,403,595,199,970,18,700,374,660,297,620,57,960,20,440,335,540,265,520,53,880,17,520,174,760,100,540,65,1000,9,800,370,580,282,540,68,940,20,640,498,640,320,580,159,840,19,520,517,650,379,600,113,1165,25,625,609,790,372,640,211,1560,26,740
