Zipcode,V.2003,P.2003,V.Coop.2003,P.Coop.2003,V.Condo.2003,P.Condo.2003,V.Condop.2003,P.Condop.2003,V.2004,P.2004,V.Coop.2004,P.Coop.2004,V.Condo.2004,P.Condo.2004,V.Condop.2004,P.Condop.2004,V.2005,P.2005,V.Coop.2005,P.Coop.2005,V.Condo.2005,P.Condo.2005,V.Condop.2005,P.Condop.2005,V.2006,P.2006,V.Coop.2006,P.Coop.2006,V.Condo.2006,P.Condo.2006,V.Condop.2006,P.Condop.2006,V.2007,P.2007,V.Coop.2007,P.Coop.2007,V.Condo.2007,P.Condo.2007,V.Condop.2007,P.Condop.2007,V.2008,P.2008,V.Coop.2008,P.Coop.2008,V.Condo.2008,P.Condo.2008,V.Condop.2008,P.Condop.2008,V.2009,P.2009,V.Coop.2009,P.Coop.2009,V.Condo.2009,P.Condo.2009,V.Condop.2009,P.Condop.2009,V.2010,P.2010,V.Coop.2010,P.Coop.2010,V.Condo.2010,P.Condo.2010,V.Condop.2010,P.Condop.2010,V.2011,P.2011,V.Coop.2011,P.Coop.2011,V.Condo.2011,P.Condo.2011,V.Condop.2011,P.Condop.2011,V.2012,P.2012,V.Coop.2012,P.Coop.2012,V.Condo.2012,P.Condo.2012,V.Condop.2012,P.Condop.2012,V.2013,P.2013,V.Coop.2013,P.Coop.2013,V.Condo.2013,P.Condo.2013,V.Condop.2013,P.Condop.2013,V.2014,P.2014,V.Coop.2014,P.Coop.2014,V.Condo.2014,P.Condo.2014,V.Condop.2014,P.Condop.2014
10001,185,565,103,290,79,950,3,310,216,730,109,350,107,1170,NA,NA,177,540,119,420,58,1740,NA,NA,205,1200,77,535,128,1525,NA,NA,273,705,106,525,167,880,NA,NA,176,1190,54,645,119,1345,3,8640,120,770,77,455,43,1175,NA,NA,116,1200,35,790,81,1320,NA,NA,213,1140,110,560,103,1340,NA,NA,231,980,79,580,152,1090,NA,NA,226,640,118,320,108,1580,NA,NA,218,750,112,320,106,1560,NA,NA
10002,312,300,198,280,114,310,NA,NA,321,350,236,350,84,370,1,280,314,500,212,460,100,715,2,180,400,590,195,500,204,760,1,420,333,570,191,490,140,800,2,415,241,540,156,490,83,650,2,590,200,500,119,490,78,500,3,480,148,610,50,500,98,740,NA,NA,228,520,150,460,76,880,2,445,307,480,195,440,112,745,NA,NA,354,540,223,500,130,760,1,NA,291,615,203,580,87,1070,1,540
10003,818,420,566,400,134,690,118,480,911,570,596,480,199,1055,116,580,774,650,513,580,145,980,116,800,683,680,438,620,155,930,90,720,994,860,535,690,361,1410,98,870,703,850,427,710,187,1610,89,815,502,700,326,590,116,1290,60,780,373,950,136,650,201,1355,36,800,680,800,399,675,210,1325,71,830,726,800,439,690,205,1385,82,870,798,820,539,700,175,1650,84,850,879,1100,492,820,282,1590,105,885
10004,43,900,20,350,23,1770,NA,NA,37,760,24,460,13,1500,NA,NA,17,360,17,360,NA,NA,NA,NA,62,635,18,690,44,630,NA,NA,24,700,15,630,8,2400,1,NA,32,960,9,750,23,1040,NA,NA,133,1130,8,405,125,1145,NA,NA,271,720,8,355,263,780,NA,NA,75,800,8,540,67,850,NA,NA,79,840,13,350,66,895,NA,NA,102,860,17,650,85,875,NA,NA,110,1020,16,445,93,1050,1,NA
10005,16,280,9,280,7,295,NA,NA,27,400,6,370,19,425,2,NA,76,465,4,630,72,460,NA,NA,481,820,1,850,478,810,2,820,521,980,9,610,512,985,NA,NA,375,970,4,1430,371,970,NA,NA,179,910,1,840,178,920,NA,NA,148,910,2,1010,146,910,NA,NA,164,880,1,680,163,880,NA,NA,169,930,4,1040,165,930,NA,NA,212,1000,3,550,209,1010,NA,NA,176,1000,2,490,174,1030,NA,NA
10006,1,NA,NA,NA,1,NA,NA,NA,1,640,NA,NA,1,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,610,NA,NA,100,610,NA,NA,214,730,NA,NA,214,730,NA,NA,162,810,NA,NA,162,810,NA,NA,53,615,NA,NA,53,615,NA,NA,86,530,NA,NA,86,530,NA,NA,58,790,NA,NA,58,790,NA,NA,66,1010,NA,NA,66,1010,NA,NA,93,1240,NA,NA,93,1240,NA,NA,119,995,NA,NA,119,995,NA,NA
10007,67,810,8,700,55,1060,4,635,116,915,8,1000,105,915,3,650,131,1300,14,1350,111,1300,6,985,56,1370,11,1260,40,1800,5,1220,388,1590,8,1850,377,1600,3,1200,367,2390,7,2090,358,2390,2,960,121,2335,4,1230,115,2575,2,900,165,1900,1,1800,164,1915,NA,NA,124,1900,5,2520,118,1900,1,840,213,1900,10,2010,202,1900,1,640,156,2030,11,2430,138,2055,7,1130,113,2785,6,2595,104,2800,3,1320
10009,150,370,70,285,73,580,7,270,166,440,99,350,56,595,11,345,167,560,82,465,76,710,9,480,203,650,119,550,74,745,10,630,135,610,79,455,52,940,4,500,191,790,54,500,136,870,1,560,103,500,55,380,44,900,4,730,69,705,16,565,50,870,3,420,110,620,58,500,45,1050,7,550,107,610,59,525,46,905,2,590,129,680,65,500,55,870,9,840,143,690,77,475,61,1020,5,550
10010,375,420,247,360,86,660,42,380,497,480,309,390,138,840,50,420,538,650,257,480,232,930,49,500,502,940,272,620,205,1440,25,420,599,1080,220,580,345,1580,34,535,540,820,160,565,344,950,36,505,337,785,143,540,169,1400,25,520,289,1140,72,580,206,1390,11,800,437,795,194,550,217,1430,26,640,583,810,190,580,367,920,26,480,468,880,211,580,224,1580,33,570,553,1220,224,620,295,2000,34,740
10011,992,450,589,400,308,770,95,320,997,520,585,480,266,920,146,360,992,680,533,610,359,1000,100,600,1228,730,450,600,683,820,95,520,1096,860,503,680,504,1420,89,590,1293,1115,370,650,846,1360,77,690,980,920,347,610,565,1290,68,540,655,1220,161,680,458,1520,36,635,896,900,402,680,396,1575,98,640,1013,960,428,680,492,1625,93,725,1079,940,534,740,460,1800,85,570,984,1000,438,735,447,1760,99,680
