BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,01  ONE FAMILY HOMES                        ,1,372,38, ,S1, 15 AVENUE D                               ,            ,10009,1,1,2,826,"2,240",1910, 1 , S1 ,$0,4/22/2010
1,ALPHABET CITY            ,01  ONE FAMILY HOMES                        ,1,372,38, ,S1, 15 AVENUE D                               ,            ,10009,1,1,2,826,"2,240",1910, 1 , S1 ,"$593,362",4/22/2010
1,ALPHABET CITY            ,02  TWO FAMILY HOMES                        ,1,376,32, ,S2, 91 AVENUE D                               ,            ,10009,2,1,3,994,"3,799",1901, 1 , S2 ,"$1,320,000",2/3/2010
1,ALPHABET CITY            ,03  THREE FAMILY HOMES                      ,1,373,16, ,C0, 326 EAST 4TH STREET                       ,            ,10009,3,0,3,"2,204","3,921",1899, 1 , C0 ,"$900,000",12/15/2010
1,ALPHABET CITY            ,03  THREE FAMILY HOMES                      ,1,393,9, ,C0, 604 EAST 11TH   STREET                    ,            ,10009,3,0,3,"2,375","5,110",1939, 1 , C0 ,$0,6/25/2010
1,ALPHABET CITY            ,04  TAX CLASS 1 CONDOS                      ,1C,399,1102, ,R6, 238 EAST 4TH   STREET                     ,-           ,10009,1,0,1,0,0,1955, 1 , R6 ,"$3,027,375",8/24/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,372,39, ,C7, 11 AVENUE D                               ,            ,10009,16,3,19,"3,419","14,400",1900, 2 , C7 ,"$8,000,000",2/19/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,372,39, ,C7, 11 AVENUE D                               ,            ,10009,16,3,19,"3,419","14,400",1900, 2 , C7 ,"$10,095,288",2/19/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,373,17, ,C3, 328 EAST 4TH   STREET                     ,            ,10009,4,0,4,"2,204","3,372",1900, 2 , C3 ,"$2,500,000",12/15/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,385,38, ,C4, 21-23 AVENUE C                            ,            ,10009,20,0,20,"3,315","15,360",1900, 2 , C4 ,"$909,250",4/27/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,390,50, ,C1, 209 E 7TH ST                              ,            ,10009,29,0,29,"3,900","18,099",1900, 2 , C1 ,"$687,375",6/24/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,391,22, ,C4, 630 EAST 9TH   STREET                     ,            ,10009,24,0,24,"2,583","10,185",1910, 2 , C4 ,"$4,250,000",10/19/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,392,25, ,C7, 380-382 EAST 10TH STREET                  ,            ,10009,18,2,20,"2,307","9,075",1930, 2 , C7 ,"$7,000,000",12/23/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,392,25, ,C7, 380-382 EAST 10TH STREET                  ,            ,10009,18,2,20,"2,307","9,075",1930, 2 , C7 ,$0,9/1/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,392,26, ,C4, 382 EAST 10TH   STREET                    ,            ,10009,20,0,20,"2,307","9,075",1930, 2 , C4 ,$0,12/23/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,392,26, ,C4, 382 EAST 10TH   STREET                    ,            ,10009,20,0,20,"2,307","9,075",1930, 2 , C4 ,$0,9/1/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,393,36, ,C7, 169 AVENUE C                              ,            ,10009,8,2,10,"1,909","7,437",1920, 2 , C7 ,$0,6/8/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,393,37, ,C7, 167 AVENUE C                              ,            ,10009,8,2,10,"1,920","7,485",1920, 2 , C7 ,$0,6/8/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,393,38, ,C7, 165 AVENUE C                              ,            ,10009,8,2,10,"1,916","7,485",1920, 2 , C7 ,"$78,750",6/8/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,400,19, ,C3, 526 EAST 5TH   STREET                     ,            ,10009,4,0,4,"1,883","3,885",1900, 2 , C3 ,"$1,450,000",6/10/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,401,15, ,C5, 510-512 EAST 6TH   STREET                 ,            ,10009,20,1,21,"4,845","13,854",1900, 2 , C5 ,$0,4/26/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,25, ,C1, 542 EAST 11TH   STREET                    ,            ,10009,20,0,20,"2,370","6,250",1920, 2 , C1 ,$0,4/19/2010
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,43, ,C4, 325 EAST 10TH   STREET                    ,            ,10009,18,0,18,"2,370","11,000",1900, 2 , C4 ,"$3,250,000",4/1/2010
